Date,P1 : ]0 - 3] kW,P2 : ]3 - 9] kW,P3 : ]9 - 100] kW,P4 : ]100 - 250] kW,P5 : ]250 - 1000] kW,P6 : ]1000 - 12000] kW,P7 : > 12000 kW
20180101,2077389548.0,375724284.0,1550614887.0,2662994105.0,6306990450.0,242538096455.0,28204877330.0
20180102,2051658031.0,303267043.0,1292679155.0,2467394555.0,6221920290.0,193593464437.0,21233689354.0
20180103,2009291799.0,331861128.0,1380156557.0,2403258667.0,5862378031.0,241554805461.0,27984387998.0
20180104,1979062851.0,291015949.0,1239655616.0,2282585943.0,5689794609.0,227499502007.0,25235850995.0
20180105,2054262371.0,387378453.0,1573814898.0,2529302592.0,5882376056.0,159644921241.0,17619228995.0
20180106,1999594834.0,316510832.0,1331892500.0,2412210107.0,5968178025.0,95120507792.0,7201112331.0
20180107,1980893459.0,248063738.0,1094303116.0,2289693655.0,6131066572.0,216296470121.0,23244587331.0
20180108,2048304422.0,351966305.0,1447242504.0,2520726070.0,6180468676.0,135857827624.0,13646235624.0
20180109,2110259949.0,395978346.0,1619340444.0,2730104664.0,6564143189.0,111829767392.0,10097769785.0
20180110,2278845592.0,515183519.0,2025217665.0,3056519617.0,6819461035.0,110228131507.0,9984210121.0
20180111,2474737129.0,488520049.0,1942373510.0,3033768356.0,6968471210.0,87774017556.0,5446929285.0
20180112,2360413077.0,422954313.0,1736715594.0,2954944558.0,7138477730.0,84809999553.0,5344757950.0
20180113,2269067961.0,481879782.0,1933228393.0,3121956707.0,7143539858.0,124389154412.0,11732168796.0
20180114,2229010383.0,462331845.0,1854870063.0,3014013983.0,6929714613.0,94271838319.0,8328335112.0
20180115,2095902905.0,365398135.0,1534739836.0,2788077550.0,6924441504.0,212341544299.0,23513280530.0
20180116,2277716254.0,419401518.0,1722148336.0,2930514233.0,7026888585.0,249052143350.0,27598669029.0
20180117,2659169971.0,664261066.0,2525422559.0,3445128086.0,7039308792.0,246724512525.0,28118002197.0
20180118,2336016634.0,486643811.0,1935516884.0,3006111355.0,6935338736.0,240287893436.0,27082759526.0
20180119,2541181085.0,571182006.0,2232988305.0,3195816300.0,6959159189.0,159988330343.0,15993942532.0
20180120,2048971702.0,326781135.0,1379634394.0,2614357699.0,6627220645.0,188295931222.0,20009401204.0
20180121,1998464649.0,428625852.0,1716103198.0,2696335403.0,5905201698.0,150978081099.0,14175062031.0
20180122,2039520098.0,412677446.0,1657698266.0,2618086355.0,5701698437.0,180118152568.0,18536482854.0
20180123,2630724416.0,624552614.0,2385669401.0,3156044516.0,6207535726.0,157606767436.0,13994397291.0
20180124,2580504768.0,644783054.0,2478477958.0,3298603330.0,6681270176.0,216081943967.0,22954962742.0
20180125,1955897247.0,315701023.0,1346098178.0,2585382320.0,6723739064.0,132534509550.0,11827954216.0
20180126,2484035090.0,521714741.0,2010045800.0,3016235190.0,6822165840.0,95642536067.0,5692654607.0
20180127,2529600610.0,526721257.0,2046979208.0,3139302418.0,6886579493.0,109167697797.0,7893145347.0
20180128,2593486315.0,621497474.0,2403311529.0,3409494999.0,7257210877.0,141554955218.0,12581405793.0
20180129,2564948619.0,591097451.0,2304007953.0,3343355554.0,7311122806.0,142103064180.0,13104668316.0
20180130,2487278305.0,577033577.0,2249395100.0,3306741009.0,7308116791.0,90299655788.0,5718746967.0
20180131,2685422591.0,674907322.0,2546724053.0,3543338659.0,7409507715.0,209152447438.0,23053930458.0
20180201,2804057710.0,662082312.0,2554342063.0,3599007442.0,7358195634.0,141509329848.0,13186420972.0
20180202,2764020024.0,613294113.0,2428531083.0,3520440127.0,7587757632.0,131404952226.0,11271395300.0
20180203,2454252877.0,505124634.0,2052548038.0,3257358323.0,7528032072.0,97685131429.0,6450930460.0
20180204,2505327781.0,594656123.0,2359558291.0,3466940005.0,7494180777.0,146182552852.0,13588572634.0
20180205,2512349353.0,614121031.0,2397640203.0,3425614262.0,7208758568.0,135975150221.0,13413422657.0
20180206,2396018223.0,522161705.0,2087967470.0,3212105560.0,7159773574.0,118031315120.0,8395765662.0
20180207,2667439294.0,706654583.0,2732445731.0,3638789613.0,7299236031.0,112007784001.0,7458821175.0
20180208,3049286117.0,900748036.0,3394828043.0,4092627365.0,7264444972.0,84742324476.0,5042603506.0
20180209,2675239230.0,701870061.0,2740407780.0,3683869852.0,7305623627.0,143017817319.0,12935860512.0
20180210,3093419423.0,891870993.0,3388318076.0,4149810483.0,7437321408.0,146658416595.0,12304350346.0
20180211,2376235090.0,559444565.0,2238525236.0,3342819366.0,7139460193.0,192328844321.0,20247601848.0
20180212,3352058178.0,1064238433.0,4005333392.0,4602439477.0,7582985041.0,127137562016.0,9781034816.0
20180213,2749574049.0,754807827.0,2932485540.0,3807695029.0,7195116326.0,173348379635.0,17155596480.0
20180214,2558579433.0,629181759.0,2474087470.0,3495288496.0,7140068214.0,147822166558.0,13986554332.0
20180215,2447859803.0,571688886.0,2285613860.0,3351347347.0,7189221753.0,137232631402.0,13265636652.0
20180216,2880320273.0,765430828.0,2962987943.0,3910681698.0,7619885284.0,90722949314.0,6855871325.0
20180217,2929874729.0,703044835.0,2727616732.0,3694181871.0,7463552485.0,101001333082.0,7862535446.0
20180218,3070796147.0,761067671.0,2960936989.0,3884594625.0,7638660426.0,101828814827.0,7009606713.0
20180219,2894481996.0,700315386.0,2754568850.0,3735712807.0,7502954963.0,86729981178.0,5292513600.0
20180220,2783774025.0,648749034.0,2557713469.0,3521096358.0,7014910600.0,114834325146.0,7899418593.0
20180221,3735408633.0,1243015325.0,4627024810.0,4963859961.0,7352205948.0,163656373602.0,14659463918.0
20180222,3823828581.0,1225189988.0,4547220264.0,4939479737.0,7551014760.0,179215196853.0,17761239321.0
20180223,3699769163.0,1151291183.0,4315265446.0,4773254276.0,7763645342.0,173857667175.0,17204047119.0
20180224,3631883945.0,1220789288.0,4539148454.0,4991278347.0,7679353115.0,182068743136.0,19026487915.0
20180225,3805297514.0,1296559926.0,4829569329.0,5178270880.0,7848756276.0,210024768665.0,21409561657.0
20180226,4069929494.0,1437394714.0,5310570356.0,5493822448.0,7848247091.0,222500953610.0,22794814125.0
20180227,3842393170.0,1387779081.0,5138280452.0,5270990090.0,7435456837.0,152985474909.0,12955926643.0
20180228,3014101546.0,903758777.0,3400337230.0,3960082740.0,6544423960.0,199068097238.0,21365948462.0
20180301,2617678833.0,615067447.0,2519951243.0,3464595802.0,6688197353.0,224304138896.0,24592736793.0
20180302,3177344988.0,1011873704.0,3999848185.0,4540829735.0,7433721758.0,177542086747.0,16662742294.0
20180303,3316987398.0,1133901911.0,4439094769.0,4851295655.0,7463329467.0,138285224969.0,12053136453.0
20180304,2601710471.0,718273202.0,2933326532.0,3798343036.0,7109519046.0,141127439262.0,14105447210.0
20180305,2955392419.0,896087842.0,3575179383.0,4293460443.0,7285390729.0,123246315621.0,10795875131.0
20180306,3129652339.0,979285633.0,3901345973.0,4524388793.0,7548868714.0,104756626591.0,8527946787.0
20180307,3396832247.0,1158475791.0,4548494280.0,4989255035.0,7610218217.0,162888763771.0,16584292281.0
20180308,3496411327.0,1317470658.0,5109771196.0,5429733397.0,7769436098.0,177664887575.0,18142749285.0
