acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence
0.8809999999999999,['Joni Mitchell'],0.644,313093,0.212,0,55qyghODi24yaDgKBI6lx0,2.22e-05,11,0.7979999999999999,-14.118,1,"The Circle Game - Live at The 2nd Fret, Philadelphia, PA, 11/1966",19,2020-10-30,0.0347,117.072,0.441
0.955,['Joni Mitchell'],0.627,295093,0.184,0,00xemFYjQNRpOlPhVaLAHa,0.000162,1,0.0986,-15.533,1,"Urge For Going - Live at The 2nd Fret, Philadelphia, PA, 11/1966",19,2020-10-30,0.045,115.864,0.299
0.888,['Joni Mitchell'],0.581,183440,0.331,0,2lm5FQJRHvc3rUN5YHpEWj,1.5e-05,6,0.147,-14.087,1,"What's The Story Mr. Blue - Live at The 2nd Fret, Philadelphia, PA, 11/1966",19,2020-10-30,0.243,88.303,0.642
0.93,['Joni Mitchell'],0.442,147907,0.3989999999999999,0,26g4FBGTB9YEj7q4HlblFf,0.000499,6,0.912,-12.661,1,"Brandy Eyes - Live at The 2nd Fret, Philadelphia, PA, 11/1966",19,2020-10-30,0.078,121.662,0.5539999999999999
0.949,['Joni Mitchell'],0.57,64173,0.176,0,05sxkljafFBW2vEnVczQy1,0.0,6,0.147,-22.676,0,"Intro To Urge For Going - Live at The 2nd Fret, Philadelphia, PA, 11/1966",19,2020-10-30,0.299,135.687,0.348
0.911,['Joni Mitchell'],0.565,232640,0.153,0,4JyPPRoW8y6mA3XA7gKvoL,0.0,10,0.358,-21.606,0,"Intro To The Circle Game - Live at The 2nd Fret, Philadelphia, PA, 11/1966",18,2020-10-30,0.3779999999999999,103.309,0.434
0.932,['Joni Mitchell'],0.598,233520,0.212,0,0GohHD8bn4lP83agkBvi5i,2.32e-05,6,0.6920000000000001,-15.078,0,"Eastern Rain - Live at The 2nd Fret, Philadelphia, PA, 11/1966",18,2020-10-30,0.0406,107.183,0.172
0.879,['Joni Mitchell'],0.3670000000000001,213840,0.307,0,7JnIimk8J3H1o828YLgZJT,0.0,11,0.73,-12.42,0,"Night In The City - Live at The 2nd Fret, Philadelphia, PA, 11/1966",18,2020-10-30,0.0568,172.86700000000005,0.284
0.926,['Joni Mitchell'],0.638,92560,0.19,0,5A3gXm54Gj3UDQ7kPoCFeB,0.0,2,0.273,-22.268,1,"Intro To Night In The City - Live at The 2nd Fret, Philadelphia, PA, 11/1966",18,2020-10-30,0.485,61.212,0.417
0.914,['Joni Mitchell'],0.7,61400,0.1639999999999999,0,1LOf4Ir6JdvjS97VY33kx1,0.0,10,0.237,-19.645,0,"Intro To What's The Story Mr. Blue - Live at The 2nd Fret, Philadelphia, PA, 11/1966",18,2020-10-30,0.4029999999999999,99.184,0.31
0.962,"['Richard Wagner', 'Birgit Nilsson', 'Bayreuth Festival Orchestra', 'Karl Böhm']",0.108,375280,0.254,0,5mbsPWqzO7MqRVPDMp37TD,0.0149,11,0.139,-14.49,1,"Tristan und Isolde, WWV 90 / Act 3: Mild und leise wie er lächelt - Live at Bayreuther Festspiele / 1966",9,2020-12-26,0.0407,74.514,0.0362
1.04e-06,['RichaadEB'],0.2769999999999999,243873,0.957,0,6xv32JCDpIom7AIIrJzRkJ,0.643,8,0.293,-5.6560000000000015,1,"To You, In 2000 Years",21,2020-10-05,0.107,94.96,0.109
0.0303,['The Rolling Stones'],0.158,444160,0.855,0,7zJobhMVgGeYxGxSPcdw33,0.0219,2,0.708,-7.001,1,2000 Light Years From Home / She’s A Rainbow / Keyboard Duet - Live,28,2020-09-25,0.078,99.535,0.0612
0.0006,['Busted'],0.57,196387,0.77,0,2EHmcprI7x6Nr4BL11MS3a,0.0,11,0.0831,-8.431000000000001,1,Year 3000,19,2020-07-03,0.0471,107.013,0.8320000000000001
0.424,['Zola Bryon'],0.633,170305,0.6940000000000001,0,0PYuNuh4PNbcZoGTcCnm1g,0.0,8,0.177,-9.187,0,Year 2000 Flow,8,2020-11-12,0.4970000000000001,86.101,0.76
0.165,['Ema Spatula'],0.6990000000000001,83853,0.5579999999999999,0,6s0QJ4tfTOkkkOMQz8HCrg,0.883,9,0.0932,-14.713,1,Year 2020,30,2020-04-08,0.0541,99.996,0.3979999999999999
0.7,['Hammock'],0.0692,533707,0.285,0,51TAp7p7B3xboCl5HWmEkF,0.6729999999999999,2,0.1989999999999999,-14.854,1,Longest Year - 2020,36,2020-12-04,0.0482,78.572,0.0312
0.969,['Schoolgirl Byebye'],0.314,74302,0.0855,0,0UsmyJDsst2xhX1ZiFF3JW,0.795,9,0.16,-15.775,1,"Year,2015",18,2020-09-16,0.0342,69.893,0.161
0.1119999999999999,['Lady Gaga'],0.851,238907,0.818,0,4liFTpYparE2zEUp2GfG64,2.94e-06,4,0.0945,-4.637,1,Poker Face,36,2020-10-23,0.0789,119.006,0.8079999999999999
0.4479999999999999,['Yunginky'],0.669,91193,0.243,0,0xUAbAov8hiYihtJ8kVsMH,0.0,8,0.061,-15.027,1,2021,14,2020-12-22,0.152,158.015,0.523
